Rank,Name,Total Score,Weeks Played,Week 1 Score,Week 2 Score,Week 3 Score,Week 4 Score,Week 5 Score
1,@>Frostnova,55800,5,8543,11844,14762,11113,9538
2,@M.A.J,49299,5,9298,6828,12932,9082,11159
3,@I am тнє єи∂亗,45420,4,12167,11134,12748,0,9371
4,@applepie,42356,4,10956,9327,12759,0,9314
5,@Lankee001🟥|Arichain,42339,5,6764,7433,13022,6527,8593
6,@Bree,41550,5,8375,5815,11380,8558,7422
7,@Moew,37894,4,12320,1928,14073,0,9573
8,@Serkan,34961,5,3329,7562,9691,9767,4612
9,@Ama,30119,4,6380,0,7415,7732,8592
10,@Prey.gdp,29774,3,0,0,9496,11800,8478
11,@Bakhsaf007,26482,3,0,7155,10017,9310,0
12,@Lord M,22550,2,11327,0,0,11223,0
13,@Julia,16109,2,0,0,8328,7781,0
14,@# kesgin | KafnTeam,15176,3,0,5359,0,1397,8420
15,@Earl-Hadj 💙💜,14901,3,512,0,7984,6405,0
16,@Cifee of Shift,14000,2,0,6600,0,0,7400
17,"@wilzeli (❖,❖)",13539,1,0,0,13539,0,0
18,(ID: 826670842561298473),12506,1,0,0,12506,0,0
19,@Perp338,11734,2,0,0,0,4296,7438
20,"@Ömer tekin(❖,❖)",11609,1,11609,0,0,0,0
21,@Monta,11574,1,11574,0,0,0,0
22,@rulls,11142,2,5230,0,0,5912,0
23,@hiep346,11056,1,11056,0,0,0,0
24,"@MDemir777 (❖,❖)",10817,2,0,0,3304,7513,0
25,@wearthyl,10181,1,0,10181,0,0,0
26,@𝙡𝙪𝙘𝙠𝙮 𝙧𝙪𝙣𝙘𝙖𝙣𝙙𝙚𝙡 ❃,9819,1,9819,0,0,0,0
27,@Slatro.gdp,9627,1,0,0,0,9627,0
28,@wagyu,9349,1,9349,0,0,0,0
29,@Melkemot,9160,1,0,9160,0,0,0
30,@Web3Gopen,9148,2,0,0,0,3483,5665
31,@Emmy,8827,1,0,0,8827,0,0
32,@qwerty,8498,1,0,0,8498,0,0
33,@chelle3ra,7866,1,7866,0,0,0,0
34,(ID: 404622123747770369),7637,1,0,0,7637,0,0
35,@! Angel☂,7430,1,0,0,7430,0,0
36,"@Kopzy(❖,❖)(❖,❖)",7018,1,7018,0,0,0,0
37,@ERNEST👻,6824,1,0,6824,0,0,0
38,@iamreal,6717,1,0,0,6717,0,0
39,@Sina,6569,1,0,0,0,0,6569
40,@Wilson Ang,6185,1,6185,0,0,0,0
41,@Ki-Fi,5983,2,0,3014,2969,0,0
42,@ZEI,5981,1,5981,0,0,0,0
43,@RememberAd,5978,1,5978,0,0,0,0
44,"@wilzeli  (❖,❖)",5828,1,5828,0,0,0,0
45,@AJAH,5635,1,5635,0,0,0,0
46,"@diegodiaz55 (❖,❖)",5612,1,5612,0,0,0,0
47,(ID: 396645286774308875),4635,1,0,0,4635,0,0
48,@M🅰LIXX TH🅰 KING👑💻,4620,1,0,4620,0,0,0
49,@poshet,4530,1,4530,0,0,0,0
50,@Kellios,4342,1,0,4342,0,0,0
51,@Serhat,4294,1,0,4294,0,0,0
52,@tenko,3877,1,0,0,0,0,3877
53,@Buth™,3800,1,0,3800,0,0,0
54,@Jhoyee,2996,1,2996,0,0,0,0
55,@Fraxzu,2936,1,2936,0,0,0,0
56,@Wendyyyy,2464,1,2464,0,0,0,0
57,@Teyra,2416,1,2416,0,0,0,0
58,@Ilham,2248,1,2248,0,0,0,0
59,@dXtemi,2238,1,2238,0,0,0,0
60,@BLOCK_DT,1929,1,1929,0,0,0,0
61,@Auraa | Auranode,1747,1,0,0,1747,0,0
62,@Swiftnfts ☯,1361,1,1361,0,0,0,0
63,@Gringo | Guardian,711,1,711,0,0,0,0
